HACKATHON METADATA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,ACAP Saint John: Community-Based Water Monitoring Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source URL (if applicable),https://atlanticdatastream.ca/explore/#/dataset/3d02cddf-1225-4977-9ba2-7cadbacdcb46/?sort=create_timestamp&active=false&zoom=5.4&lat=52.690912446906836&lng=-61.521620830861124,Parameters,Ammonia,Conductivity,Dissolved oxygen (DO),Dissolved oxygen saturation,Escherichia coli,Fecal Coliform,Orthophosphate,pH,Salinity,Specific conductance,"Temperature, air","Temperature, water",Total Coliform,Total dissolved solids,Total suspended solids,Turbidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,14-Jul-93,Record Count,2912,1063,3118,2114,1023,1533,3377,3493,3297,825,338,3172,553,212,548,2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,13-Oct-22,Sites,Adam's Lake,Alder Brook,Alder Downstream,Alder Upstream,Ashburn Lake Stream,Ashburn Lake Waterfront,Bayshore,Black Beach,Caledonia Downstream,Caledonia Upstream,Cold Brook Wetland,Courtenay Bay,Crescent Lake,Dalek Bog,Digby Ferry Terminal,Dominion Park,Drury's Pasture,Fairweather Brook,Field House Wetland Downstream,Field House Wetland Upstream,Glen Falls Wetland,Grand Bay Downstream,Grand Bay Upstream,Grassy Lake,Harbour 1,Harbour 13,Harbour 14,Harbour 19,Harbour 2,Harbour 20,Harbour 22,Harbour 23,Harbour 27,Harbour 3,Harbour 30,Harbour 31,Harbour 4,Harbour 6,Harrigan Lake,Hazen Creek 2/Expansion,Hazen Creek Beach,Hazen Creek Mouth,Hazen Creek Nearshore,Hazen Creek Neashore,Hazen Creek Upstream,Howes Lake,Inglewood Drive Wetland,Inner Harbour,Inner Harbour 2 (DMK),Inner Harbour Downstream,Inner Harbour Upstream,Kelly Lake,Kennebecasis Bay Downstream,Kennebecasis Bay Upstream,Kennebecasis Drive,Lakewood Swamp,Latimer Lake,Lily Lake Site 1,Lily Lake Site 10,Lily Lake Site 11,Lily Lake Site 12,Lily Lake Site 13,Lily Lake Site 2,Lily Lake Site 3,Lily Lake Site 4,Lily Lake Site 5,Lily Lake Site 6,Lily Lake Site 7,Lily Lake Site 8,Lily Lake Site 9,Little River,Little River Downstream,Little River Nearshore,Little River Reservoir,Little River Swamp,Little River Upstream,Loch Lomond Marsh,Long Lake,Lorneville (Breakwater),Lorneville 1,Lorneville Downstream,Lorneville Downstream 1,Lorneville Downstream 2,Lorneville Downstream 3,Lorneville Downstream 4,Lorneville Downstream 5,Lorneville Stream 1,Lorneville Upstream,Lorneville Upstream 1,Lorneville Upstream 2,Major's Pasture,Manawagonish Creek Downstream,Manawagonish Creek Upstream,Marsh Creek 1,Marsh Creek 11,Marsh Creek 2,Marsh Creek 3,Marsh Creek 4,Marsh Creek 5,Marsh Creek Downstream,Marsh Creek Upstream,Marsh Lake,McAllister Marsh,McLaren's Beach,Mellinger Brook Downstream,Mellinger Brook Upstream,Mill Creek,Mill Creek Upstream,Millidge Ave. Pasture,Mispec Beach,Mispec Downstream,Mispec Stream 1,Mispec Stream 2,Mispec Upstream,Mosquito Cove,Mystery Lake,NBCC Marsh,Newman's Brook,Newman's Brook Confluence,Newman's Brook Downstream,Newman's Brook Upstream,Newmans Brook Downstream,Newmans Brook Upstream,Old Black River Bog,Red Head Beach,Red Head Marsh,Renforth Bog,Robertson Lake 1 (Dam),Robertson Lake 2 (Inlet),Robertson Lake 3,Robertson Lake 4,Robertson Lake 5,Robertson Lake Pool,Saints Rest Beach,Saints Rest Downstream,Saints Rest Intertidal Marsh,Saints Rest Upstream,Salmon Creek Downstream,Salmon Creek Upstream,Silver Falls Reservoir,South Bay Downstream,South Bay Upstream,Spar Cove,Spruce Lake Downstream,Spruce Lake Stream Mouth,Spruce Lake Stream Upstream,Spruce Lake Upstream,Taylors Brook Downstream,Taylors Brook Upstream,Tin Can Beach,Walker Creek
Number of sites,151,Record Count,6,24,66,66,110,48,415,408,449,451,181,433,397,117,392,368,125,499,181,168,175,175,418,6,15,16,15,9,15,10,16,15,9,16,16,6,16,16,6,529,24,498,307,121,424,81,7,113,14,933,618,5,335,333,427,7,13,44,15,15,27,4,44,15,15,44,15,15,15,23,449,540,7,13,7,564,7,6,7,7,155,12,12,12,12,12,169,176,12,12,7,429,410,233,550,630,667,648,656,1264,1311,6,138,23,287,259,816,135,7,441,65,89,87,47,22,14,20,140,70,200,266,229,264,7,13,554,13,24,24,20,20,24,24,411,471,7,460,485,476,13,232,216,412,286,377,386,284,501,510,415,42
Number of parameters,16,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,ACAP Saint John: Nutrients in the lower Wolastoq watershed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source URL (if applicable),https://atlanticdatastream.ca/explore/#/dataset/26ff3346-acdf-45d0-a8e6-d1466995d386/?sort=create_timestamp&active=false&zoom=5.1000000000000005&lat=52.69091244690686&lng=-61.521620830861146,Parameters,"Alkalinity, total",Aluminum,Ammonia,Antimony,Arsenic,Barium,Beryllium,Bicarbonate,Bismuth,Boron,Bromine,Cadmium,Calcium,Carbonate,Chloride,Chromium,Cobalt,Conductivity,Copper,Dissolved oxygen (DO),Dissolved oxygen saturation,Fluoride,Inorganic nitrogen (nitrate and nitrite),Iron,Kjeldahl nitrogen,Lead,Lithium,Magnesium,Manganese,Molybdenum,Nickel,Nitrate,Nitrite,Organic carbon,pH,Potassium,Rubidium,Salinity,Selenium,Silver,Sodium,Strontium,Sulfate,Tellurium,"Temperature, water",Thallium,Tin,Total dissolved solids,Total hardness,"Total Phosphorus, mixed forms",True color,Turbidity,Uranium,Vanadium,Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,27-Sep-20,Record Count,100,102,338,181,185,122,199,100,200,100,101,173,100,100,100,199,165,100,183,100,100,100,148,123,117,145,100,100,105,115,188,147,198,100,100,100,100,100,188,200,100,100,108,200,100,200,200,100,100,101,100,100,174,176,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,08-Oct-21,Sites,Browns Flat,Fallsview,Gagetown Ferry,Little River,Marsh Creek 2,Marsh Creek Upstream,Nerepis River,Spar Cove,Spruce Lake Downstream,Taylor's Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of sites,10,Record Count,771,814,747,660,728,724,752,810,747,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of parameters,55,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,ACAP Saint John: Sediment PAHs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source URL (if applicable),"https://atlanticdatastream.ca/explore/#/dataset/99612119-164a-456a-a30d-5fadacd90433/?sort=create_timestamp&active=false&zoom=5.4&lat=52.690912446906836&lng=-61.521620830861124&guideline=Probable%20Effect%20Level_CCME__Sediment_Freshwater,Threshold%20Effect%20Level%20_CCME__Sediment_Freshwater&locations=86599,456575,456572,86593,86608,456573,206930,456567,86597,456577,86609,456568,456576,86605,456569,86601,86600,86604,456571,86598,86603,86606,86607,456574,86594,456570,86602,456579,206941,456578",Parameters,Acenaphthene,Acenaphthylene,Anthracene,Benz[a]anthracene,Benzo[a]pyrene,"Benzo[b,j]fluoranthene",Benzo[e]pyrene,Benzo[ghi]perylene,Benzo[k]fluoranthene,"Dibenz[a,h]anthracene",Fluoranthene,Fluorene,"Indeno[1,2,3-cd]pyrene",Moisture content,Naphthalene,Phenanthrene,Pyrene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,27-Sep-18,Record Count,233,230,236,238,237,237,236,235,235,230,239,234,236,182,232,239,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,28-Oct-22,Sites,Bayshore,Black Beach,Courtenay Bay,Digby Ferry Terminal,Hazen Creek Mouth,Hazen Creek Nearshore,Inner Harbour,Little River,Little River Nearshore,Lorneville,March Creek WS DS,Marsh Creek 1,Marsh Creek WS DS,McLaren's Beach,Mispec,Saints Rest Beach,Spar Cove,Spare Cove,Tin Can Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of sites,19,Record Count,269,269,269,269,252,329,385,269,17,17,48,17,221,17,252,269,272,90,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of parameters,17,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,"IISD_ELA_Sites1,2,3_Lakes_Ref_Secchi_2015_2020.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source URL (if applicable),<IISD-ELA GitHub collection>,Parameters,SECCHI (Secchi depth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,1/1/2015,Record Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,12/31/2020,Sites,Site 1 Lake,Site 2 Lake,Site 3 Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of sites,3,Record Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of parameters,1,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,"IISD_ELA_Sites1,2,3_Lakes_Ref_Profiles(TEMP,COND,DO)_2015_2017.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source URL (if applicable),<IISD-ELA GitHub collection>,Parameters,depth_m,depth_bin_m,temp_c,cond_us_cm1,cond_spec_us_cm1,oxygen_mg_l1,oxygen_saturation_pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,1/1/2015,Record Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,12/31/2017,Sites,Site 1 Lake,Site 2 Lake,Site 3 Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of sites,3,Record Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of parameters,7,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset,"IISD_ELA_Sites1,2,3_Lakes_Ref_Chem_2015_2020.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source URL (if applicable),<IISD-ELA GitHub collection>,Parameters,ALK,CL,SO4,CA,MG,NA,K,FE,MN,CHLA,COND,DIC,DOC,NH3,NO2,NO3,PARTC,PARTN,PARTP,PH,SRSI,TDN,TDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,1/1/2015,Record Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,12/31/2020,Sites,Site 1 Lake,Site 2 Lake,Site 3 Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of sites,3,Record Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of parameters,23,Other notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
