DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,"Alkalinity, total",as CaCO3,Dissolved,61,mg/L,Actual,,,,,,,310.2,USEPA,Methyl Orange Colourimetry,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Aluminum,,Acid Soluble,,,Actual,Below Detection/Quantification Limit,0.02,mg/l,Lower Reporting Limit,,,200.8/200.7,USEPA,ICP-MS/ICP-ES,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Aluminum,,Acid Soluble,,,Actual,Below Detection/Quantification Limit,0.02,mg/L,Lower Reporting Limit,,,200.8/200.7,USEPA,ICP-MS/ICP-ES,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Ammonia,as N,Unfiltered,,,Actual,Below Detection/Quantification Limit,0.05,mg/L,Lower Reporting Limit,,,4500-NH3 G,APHA,"""Phenate"" Colourimetry",,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Ammonia,as N,Unfiltered,,,Actual,Below Detection/Quantification Limit,0.05,mg/l,Lower Reporting Limit,,,4500-NH3 G,APHA,"""Phenate"" Colourimetry",,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Ammonia,as N,Unfiltered,,,Calculated,Below Detection/Quantification Limit,0.001,mg/L,Lower Reporting Limit,,,,,Calculated,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Ammonia,as N,Unfiltered,,,Calculated,Below Detection/Quantification Limit,0.001,mg/l,Lower Reporting Limit,,,,,Calculated,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Antimony,,Acid Soluble,,,Actual,Below Detection/Quantification Limit,0.002,mg/l,Lower Reporting Limit,,,200.8/200.7,USEPA,ICP-MS/ICP-ES,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Antimony,,Acid Soluble,,,Actual,Below Detection/Quantification Limit,0.002,mg/L,Lower Reporting Limit,,,200.8/200.7,USEPA,ICP-MS/ICP-ES,,,,RPC Fredericton,
ACAP Saint John: Nutrients in the lower Wolastoq watershed,Browns Flat,Browns Flat,45.468188,-66.123504,WGS84,,,,,Estuary,Sample-Routine,Surface Water,2020-09-27,00:00:00,,,,,Water Bottle,Arsenic,,Acid Soluble,,,Actual,Below Detection/Quantification Limit,0.02,mg/l,Lower Reporting Limit,,,200.8/200.7,USEPA,ICP-MS/ICP-ES,,,,RPC Fredericton,
