dataset_name,site,treatment,activity_media_name,activity_start_date,activity_start_time,depth_m,depth_bin_m,temp_c,cond_us_cm1,cond_spec_us_cm1,oxygen_mg_l1,oxygen_saturation_pct,collection_method,update_date,version
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:15:00,0.500,0.5,0.920,13.450,24.900,3.810,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:15:00,0.020,0.0,0.600,14.050,26.310,4.010,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:16:00,1.010,1.0,1.580,13.290,24.050,3.510,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:17:00,2.990,3.0,3.100,13.780,23.680,1.970,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:17:00,1.970,2.0,2.560,13.500,23.630,2.700,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:18:00,3.960,4.0,3.680,14.240,24.020,0.910,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:19:00,6.010,6.0,4.040,18.530,30.900,0.180,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:19:00,5.000,5.0,3.840,15.700,26.340,0.440,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:20:00,7.980,8.0,4.230,38.440,63.710,0.060,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:20:00,7.000,7.0,4.090,21.890,36.440,0.080,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:21:00,8.980,9.0,4.350,63.240,104.430,0.050,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:22:00,9.500,9.5,4.420,89.200,146.990,0.020,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:26:00,0.990,1.0,1.090,13.450,24.760,3.820,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:31:00,4.020,4.0,3.700,14.810,24.960,0.690,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:36:00,5.980,6.0,3.920,16.750,28.040,0.160,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:41:00,7.880,,4.250,39.500,65.430,0.080,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:45:00,9.470,9.5,4.430,83.800,138.040,0.050,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-01-08,09:52:00,9.050,9.0,4.440,86.600,142.610,0.040,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:19:00,0.030,0.0,0.280,20.180,38.240,11.960,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:20:00,0.480,0.5,1.130,16.360,30.070,5.670,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:23:00,1.000,1.0,2.260,13.670,24.170,0.780,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:23:00,2.010,2.0,3.120,13.180,22.640,0.470,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:24:00,3.970,4.0,3.770,17.140,28.830,0.150,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:24:00,3.030,3.0,3.650,16.800,28.370,0.250,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:25:00,5.030,5.0,3.920,19.610,32.820,0.090,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:25:00,7.010,7.0,4.210,34.350,56.970,0.070,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:25:00,5.990,6.0,4.100,24.530,40.830,0.080,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:26:00,7.990,8.0,4.290,46.270,76.560,0.060,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:26:00,9.010,9.0,4.390,77.000,127.000,0.060,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:27:00,9.510,9.5,4.420,190.000,313.010,0.050,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:30:00,1.030,1.0,2.480,14.270,25.040,2.120,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:32:00,1.000,1.0,2.560,14.060,24.610,1.360,,RBR-18033-138,2020-09-17,1
"RBR Probe Profile data - TEMP, COND, DO",Site4,fertilized,Lake water,2015-03-17,07:34:00,4.040,4.0,3.850,18.210,30.560,0.180,,RBR-18033-138,2020-09-17,1
