dataset_name,site,treatment,activity_media_name,stream_name,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_start_depth,layer_collection_end_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,field_comment
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",ALK,,alkalinity,"",103.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",ALK,,alkalinity,"",13.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",ALK,,alkalinity,"",0.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",ALK,,alkalinity,"",150.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",CA,,as Ca,Filterable,2.83000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",CA,,as Ca,Filterable,1.54000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",CA,,as Ca,Filterable,3.49000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",CA,,as Ca,Filterable,1.83000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",CHLA,,"",Filterable,0.11000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",CHLA,,"",Filterable,0.03000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",CHLA,,"",Filterable,2.13000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",CHLA,,"",Filterable,3.37000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",CL,,as Cl,Filterable,0.27000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",CL,,as Cl,Filterable,0.13000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",CL,,as Cl,Filterable,0.17000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",CL,,as Cl,Filterable,0.13000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",COND,,"",Unfiltered,38.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",COND,,"",Unfiltered,25.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",COND,,"",Unfiltered,21.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",COND,,"",Unfiltered,21.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
