dataset_name,site,stream_name,activity_media_name,activity_start_date,date_type,mean_daily_discharge,result_unit,qualifier,comments,version,update_date
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-01,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-02,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-03,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-04,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-05,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-06,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-07,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-08,mean_date,0.0000,cubic metres per second reported to four decimal places,manual gauge observation:  Indicates that the stated value is an estimate based on one or more readings or in combination with partial recorded record.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-09,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-10,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-11,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-12,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-13,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-14,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-15,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-16,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-17,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-18,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
