dataset_name,site,treatment,activity_media_name,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_start_depth,layer_collection_end_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,field_comment
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,ALK,,alkalinity,"",83.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,ALK,,alkalinity,"",90.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,CA,,as Ca,Filterable,1.54000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,CA,,as Ca,Filterable,1.55000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,CHLA,,"",Filterable,6.41000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,CHLA,,"",Filterable,7.44000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,CL,,as Cl,Filterable,0.22000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,CL,,as Cl,Filterable,0.24000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,COND,,"",Unfiltered,17.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,COND,,"",Unfiltered,17.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,DIC,,as Total CO2,Dissolved,121.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,DIC,,as Total CO2,Dissolved,130.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,DOC,,as C,Filterable,723.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,DOC,,as C,Filterable,735.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,FE,,as Fe,Filterable,0.08000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,FE,,as Fe,Filterable,0.09000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
