dataset_name,site,treatment,activity_media_name,activity_start_date,activity_start_time,characteristic_name,result_value,result_unit,update_date,version
Secchi Depths,Site1,none (reference/control),Lake water,2015-05-11,09:41,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-05-14,08:50,SECCHI,2.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-05-25,09:23,SECCHI,3.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-05-28,09:50,SECCHI,2.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-06-08,08:50,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-06-11,08:00,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-06-22,08:27,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-06-25,08:45,SECCHI,5.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-07-06,07:35,SECCHI,3.10,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-07-08,08:40,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-07-20,07:22,SECCHI,4.50,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-07-23,08:47,SECCHI,5.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-08-04,07:21,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-08-06,08:15,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-08-17,07:10,SECCHI,4.50,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-08-18,08:10,SECCHI,6.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-08-31,07:30,SECCHI,3.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-09-02,08:45,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-09-14,07:46,SECCHI,4.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-09-17,08:15,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-09-22,12:58,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-09-28,07:32,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-10-01,08:26,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-10-28,07:21,SECCHI,3.50,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2015-11-10,15:02,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2015-11-10,08:55,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-05-02,13:50,SECCHI,5.25,metres,2023-04-21,1
