dataset_name,site,treatment,activity_media_name,activity_start_date,activity_start_time,characteristic_name,result_value,result_unit,update_date,version
Secchi Depths,Site4,fertilized,Lake water,2015-05-19,08:38,SECCHI,2.25,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-06-01,13:05,SECCHI,1.75,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-06-15,08:07,SECCHI,1.25,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-06-29,08:50,SECCHI,1.00,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-07-13,08:20,SECCHI,1.75,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-07-27,08:10,SECCHI,1.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-08-10,08:30,SECCHI,1.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-08-24,09:25,SECCHI,1.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-09-08,08:20,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2015-09-21,08:08,SECCHI,1.00,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-10-05,08:20,SECCHI,1.25,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2015-11-09,09:30,SECCHI,1.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-05-10,10:29,SECCHI,2.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-05-18,08:56,SECCHI,1.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-05-30,08:45,SECCHI,1.75,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-06-15,08:54,SECCHI,1.50,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2016-06-29,08:17,SECCHI,0.75,metres,2020-04-02,
