MonitoringLocationName,count
Browns Flat,771
Fallsview,814
Gagetown Ferry,747
Little River,660
Marsh Creek 2,728
Marsh Creek Upstream,724
Nerepis River,752
Spar Cove,810
Spruce Lake Downstream,747
Taylor's Brook,766
CharacteristicName,count
"Alkalinity, total",100
Aluminum,102
Ammonia,338
Antimony,181
Arsenic,185
Barium,122
Beryllium,199
Bicarbonate,100
Bismuth,200
Boron,100
Bromine,101
Cadmium,173
Calcium,100
Carbonate,100
Chloride,100
Chromium,199
Cobalt,165
Conductivity,100
Copper,183
Dissolved oxygen (DO),100
Dissolved oxygen saturation,100
Fluoride,100
Inorganic nitrogen (nitrate and nitrite),148
Iron,123
Kjeldahl nitrogen,117
Lead,145
Lithium,100
Magnesium,100
Manganese,105
Molybdenum,115
Nickel,188
Nitrate,147
Nitrite,198
Organic carbon,100
pH,100
Potassium,100
Rubidium,100
Salinity,100
Selenium,188
Silver,200
Sodium,100
Strontium,100
Sulfate,108
Tellurium,200
"Temperature, water",100
Thallium,200
Tin,200
Total dissolved solids,100
Total hardness,100
"Total Phosphorus, mixed forms",101
True color,100
Turbidity,100
Uranium,174
Vanadium,176
Zinc,138
